epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1959.53,0.4618,0.45247,0.85828,0.91745,0.68952,0.74704,0.68249,0.49189,0.57599,0.81955,0.0003095,0.0003095,0.0003095
78,1980.48,0.43539,0.43087,0.84673,0.85996,0.7248,0.74564,0.6817,0.5119,0.58806,0.818,0.000297125,0.000297125,0.000297125
79,2003.38,0.42617,0.42002,0.85624,0.88535,0.72416,0.75011,0.68943,0.50469,0.57188,0.81463,0.00028475,0.00028475,0.00028475
80,2024.98,0.43265,0.42479,0.83421,0.89485,0.72812,0.75367,0.68548,0.52726,0.60417,0.81763,0.000272375,0.000272375,0.000272375
81,2046.31,0.45635,0.45283,0.84993,0.89939,0.73384,0.75367,0.68426,0.49374,0.56839,0.81287,0.00026,0.00026,0.00026
82,2067.85,0.44579,0.44525,0.85625,0.90597,0.73723,0.75101,0.68262,0.50702,0.57802,0.81451,0.000247625,0.000247625,0.000247625
83,2088.72,0.43575,0.42479,0.86669,0.91111,0.73175,0.75337,0.6691,0.48998,0.59317,0.8149,0.00023525,0.00023525,0.00023525
84,2109.64,0.45439,0.45034,0.8645,0.90103,0.71492,0.75151,0.66823,0.49154,0.58058,0.81401,0.000222875,0.000222875,0.000222875
85,2130.77,0.43623,0.42302,0.85893,0.87022,0.73744,0.75096,0.66733,0.48694,0.5692,0.81417,0.0002105,0.0002105,0.0002105
86,2151.13,0.43743,0.41869,0.86459,0.86564,0.73774,0.74907,0.66501,0.5002,0.56807,0.8163,0.000198125,0.000198125,0.000198125
87,2171.14,0.43018,0.41626,0.84787,0.86341,0.73894,0.74978,0.688,0.48712,0.55755,0.81288,0.00018575,0.00018575,0.00018575
88,2194.94,0.41474,0.40502,0.84512,0.88781,0.73421,0.7506,0.69619,0.4898,0.55416,0.81663,0.000173375,0.000173375,0.000173375
89,2216.44,0.42092,0.41433,0.85405,0.90347,0.73782,0.75069,0.69925,0.49141,0.55784,0.81648,0.000161,0.000161,0.000161
90,2238.39,0.40695,0.39242,0.84664,0.91322,0.73805,0.75223,0.69131,0.46814,0.54801,0.81461,0.000148625,0.000148625,0.000148625
91,2265.14,0.43626,0.43059,0.85163,0.91361,0.73463,0.74983,0.69128,0.47568,0.55686,0.81162,0.00013625,0.00013625,0.00013625
92,2290.47,0.40363,0.4256,0.83236,0.89274,0.73766,0.74847,0.69347,0.48259,0.56299,0.81066,0.000123875,0.000123875,0.000123875
93,2316.07,0.39277,0.39631,0.83905,0.91482,0.7283,0.74869,0.69202,0.47347,0.54873,0.81269,0.0001115,0.0001115,0.0001115
94,2339.97,0.38908,0.40226,0.83851,0.90534,0.73824,0.74987,0.69334,0.47791,0.55025,0.8145,9.9125e-05,9.9125e-05,9.9125e-05
95,2364.3,0.40254,0.39269,0.82526,0.91675,0.73183,0.75018,0.69471,0.4857,0.54938,0.81449,8.675e-05,8.675e-05,8.675e-05
96,2391.3,0.38003,0.38973,0.81714,0.91536,0.73006,0.75123,0.69416,0.48272,0.54828,0.81247,7.4375e-05,7.4375e-05,7.4375e-05
97,2414.14,0.38886,0.41504,0.83678,0.91543,0.73016,0.74993,0.69748,0.47648,0.5499,0.81115,6.2e-05,6.2e-05,6.2e-05
98,2438.92,0.39097,0.39669,0.81739,0.90318,0.73629,0.75034,0.69807,0.47462,0.55184,0.81156,4.9625e-05,4.9625e-05,4.9625e-05
99,2465.52,0.38271,0.38777,0.8244,0.90444,0.74148,0.75015,0.69893,0.4762,0.55078,0.81264,3.725e-05,3.725e-05,3.725e-05
100,2489.87,0.37997,0.37879,0.82771,0.90817,0.74122,0.75075,0.69792,0.47576,0.54666,0.81396,2.4875e-05,2.4875e-05,2.4875e-05
